Como você se define,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)?",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",Em qual UF você reside?,Em qual país você reside?,De quais edições da Python Brasil você já participou?,Você já participou de algum outro evento Python?,Você participou de outros eventos online durante a pandemia de covid-19?,Há quanto tempo você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você é estudante?,Você trabalha com Python?,"Você pretende submeter alguma atividades (palestra, tutorial) para a Python Brasil?","Você faz parte de alguma comunidade local? (grupy, PUG, PyLadies, AfroPython)","Se sim, qual?.1",extract_date
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Nulo :D,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Sim,Pyladies,2020-11-10
Uma pessoa branca,,Homem,,Sim,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,PI,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Não sei programar,Iniciante,Não,"Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,Não,Sim,Com certeza!,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,BA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Intermediário,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,DF,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Nulo :D,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,BA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,AM,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização",Sim,Com certeza!,Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,MA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PI,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, pós-graduação ou especialização",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Iniciante,Não,Sim,"Não, vou apenas para participar",Sim,Grupy,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PI,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,CE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Avançado,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Bisexual,,Não,,RS,,É a minha primeira vez no evento!,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Sim,Pytche,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,PA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Lésbica,,Não,,BA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,Não,"Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,Não moro no Brasil,Alemanha,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,PE,,É a minha primeira vez no evento!,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Não,Há mais de um ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Não,,RJ,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,AM,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Não,Com certeza!,Não,,2020-11-10
Uma pessoa amarela,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Nulo :D,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Prefiro não responder,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,"Não, mas pretendo","Não, vou apenas para participar",Sim,Afropython,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Comecei no último ano,Intermediário,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Iniciante,"Sim, pós-graduação ou especialização",Não,"Não, vou apenas para participar",Sim,A Ponte Para Pretxs,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PI,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,"Não, mas pretendo",Com certeza!,Não,,2020-11-10
Uma pessoa amarela,,Homem,,Não,Hétero,,Não,,CE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,PR,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, ensino técnico",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Sim,Física,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Nulo :D,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,MA,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Não,Com certeza!,Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,PA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Não,Com certeza!,Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Prefiro não responder,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Bisexual,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,AM,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Lésbica,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,PE,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais",Não,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Sim,PUG-PE,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Avançado,"Sim, pós-graduação ou especialização",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Não-binárie,,Não,Lésbica,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Avançado,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,BA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de três anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de três anos,Intermediário,"Sim, pós-graduação ou especialização",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Nulo :D,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,PB,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies-PB,2020-11-10
Uma pessoa branca,,Homem,,Não,Bisexual,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de cinco anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Iniciante,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Bisexual,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,Não moro no Brasil,Países Baixos,Edições anteriores à Python Brasil [10],"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) | Sim, eventos internacionais",Sim,Há mais de dez anos,Avançado,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,CE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de três anos,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,Não moro no Brasil,Irlanda,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Iniciante,Não,"Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,Não moro no Brasil,Irlanda,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, ensino técnico","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Outro,Uma pessoa preta,Homem,,Não,Bisexual,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Avançado,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,PB,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies PB,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,RS,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,DF,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Pansexual,,Não,,BA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Não-binárie,,Não,Lésbica,,Prefiro não responder,,PR,,Edições anteriores à Python Brasil [10],"Sim, eventos locais",Não,Não sei programar,Iniciante,"Sim, ensino fundamental ou médio","Não, mas pretendo",Com certeza!,Não,,2020-11-10
Prefiro não responder,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Sim, eventos locais",Não,Há mais de um ano,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Prefiro não responder,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Não sei programar,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
